date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:06	37269/37269	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2017:20:15%20GMT	http://www.solarcosur.com/nuestros-clientes/	C:/My%20Web%20Sites/solar2/www.solarcosur.com/nuestros-clientes/index.html	(from http://www.solarcosur.com/)
14:21:07	19717/19717	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2017:20:16%20GMT	http://www.solarcosur.com/novedades/	C:/My%20Web%20Sites/solar2/www.solarcosur.com/novedades/index.html	(from http://www.solarcosur.com/)
14:21:58	16830/16830	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2017:21:08%20GMT	http://www.solarcosur.com/contacto/	C:/My%20Web%20Sites/solar2/www.solarcosur.com/contacto/index.html	(from http://www.solarcosur.com/)
14:21:58	7755/7755	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Apr%202018%2017:21:08%20GMT	http://www.solarcosur.com/productos-y-servicios/producci%c3%b3n-de-electricidad/	C:/My%20Web%20Sites/solar2/www.solarcosur.com/productos-y-servicios/producci%c3%b3n-de-electricidad/index.html	(from http://www.solarcosur.com/)
14:21:58	5986/5986	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Apr%202018%2017:21:08%20GMT	http://www.solarcosur.com/productos-y-servicios/producci%c3%b3n-de-agua-caliente-sanitaria/	C:/My%20Web%20Sites/solar2/www.solarcosur.com/productos-y-servicios/producci%c3%b3n-de-agua-caliente-sanitaria/index.html	(from http://www.solarcosur.com/)
14:21:59	6604/6604	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Fri,%2013%20Apr%202018%2017:21:09%20GMT	http://www.solarcosur.com/productos-y-servicios/producci%c3%b3n-de-agua-caliente-sanitaria/bombas-de-calor/	C:/My%20Web%20Sites/solar2/www.solarcosur.com/productos-y-servicios/producci%c3%b3n-de-agua-caliente-sanitaria/bombas-de-calor/index.html	(from http://www.solarcosur.com/)
14:22:00	107869/107869	---M--	200	added ('OK')	image/jpeg	etag:%22b945c34cc93aa7ea0908f249520f7cb7%22	https://image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/background/ic54b583ffb78d094/version/1361211628/image.jpg	C:/My%20Web%20Sites/solar2/image.jimcdn.com/app/cms/image/transf/none/path/s8305c075a15b3c36/background/ic54b583ffb78d094/version/1361211628/image.jpg	(from https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/main.css?t=1523579801)
14:22:00	588/588	---M--	200	added ('OK')	image/gif	etag:%22585274fb-24c%22	https://u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/top.gif	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/top.gif	(from https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout.css?t=1481798907)
14:22:00	15531/15531	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Apr%202018%2017:22:00%20GMT	http://www.solarcosur.com/sitemap/	C:/My%20Web%20Sites/solar2/www.solarcosur.com/sitemap/index.html	(from http://www.solarcosur.com/)
14:22:00	559/559	---M--	200	added ('OK')	image/png	etag:%22585274fb-22f%22	https://u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/top.png	C:/My%20Web%20Sites/solar2/u.jimcdn.com/cms/o/layout/l4c5aa3744e2f1c20/img/top.png	(from https://u.jimcdn.com/cms/o/s8305c075a15b3c36/layout/l4c5aa3744e2f1c20/css/layout.css?t=1481798907)
